49;safety ribbon;3;attic;K infodesk
50;4.6m ethernet cable;10;attic;K infodesk
50;6.1m ethernet cable;10;attic;K infodesk
50;9.1m ethernet cable;10;attic;K NOC
51;ticket paper;0;attic;K infodesk
51;ticket printer;4;attic;K infodesk
52;ethernet cable (short);100;attic;K NOC
53;ethernet cable (long);10;attic;K NOC
54;banners not here, found downstairs in an unmarked box in the office!;0;attic;K infodesk
54;FOSDEM property sticker;1;attic;K infodesk
54;laminator;1;attic;K infodesk
54;laminator supplies;1;attic;K infodesk
54;name badge;300;attic;K infodesk
54;thermal paper printer roll;16;attic;K infodesk
55;Signage H, U, AW, J;;attic;H.2.111
56;large broom head;5;attic;
56;small broom head;4;attic;
56;hand disinfectant;1;attic;
56;wet broom head;1;attic;
56;video adapters;1;attic;K VOC
57;5m XLR cable;20;attic;K VOC
58;tablet stand;7;attic;K Infodesk
59;C14 power cable;24;attic;K VOC
59;Yamaha mixer;4;attic;K VOC
60;big screen;1;attic;K NOC
61;spanriem;5;attic;K infodesk
62;3-outlet power strip;3;attic;H infodesk
62;4-outlet power strip;7;attic;H infodesk
62;6-10 power strip;5;attic;H infodesk
62;extension cord;2;attic;H infodesk
64;small broom head;5;attic;K infodesk
65;dust pan;4;attic;U collection point
65;large broom head;6;attic;U collection point
65;small broom head;6;attic;U collection point
65;squeegee;1;attic;U collection point
66;large broom head;2;attic;AW collection point
66;small broom head;3;attic;AW collection point
66;dust pan;2;attic;AW collection point
66;paper tape;5;attic;AW collection point
66;oil;1;attic;AW collection point
67;hand disinfectant;1;attic;H infodesk
67;garbage roll;6;attic;H infodesk
67;paper tape;1;attic;H infodesk
67;safety ribbon;1;attic;H infodesk
68;Atem mini pro;1;attic;K VOC
68;MiniConverter HDMI to SDI 4K;2;attic;K VOC
68;Ultra-DI;1;attic;K VOC
68;Yamaha MG06X;1;attic;K VOC
68;Wireless router;1;attic;K VOC
68;UHD 4Kx2K 3D 1X4 HDMI splitter;2;attic;K VOC
68;HDMI to HDMI 4K Scaler;1;attic;K VOC
68;HDMI cable;6;attic;K VOC
68;XLR cable;3;attic;K VOC
68;ethernet cable (short);4;attic;K VOC
68;ethernet cable (long);1;attic;K VOC
68;XLR male/male;6;attic;K VOC
68;C19 power cable;2;attic;K VOC
68;computer mouse;2;attic;K VOC
68;cable tie (long);1;attic;K VOC
68;cable tie (short);1;attic;K VOC
69;video box repair set;1;attic;K VOC
70;coffee maker;1;attic;H infodesk
70;thermos;1;attic;H infodesk
70;water cooker heater boiler;1;attic;H infodesk
71;large power strip;10;attic;K NOC
72;large power strip;14;attic;K NOC
73;pole;8;attic;Janson
73;pulley;13;attic;Janson
74;broom stick;7;attic;H infodesk
75;broom stick;7;attic;U collection point
76;dust pan;3;attic;Janson
76;large broom head;4;attic;Janson
76;small broom head;6;attic;Janson
76;garbage bag;4;attic;Janson
76;paper tape;1;attic;Janson
76;safety ribbon;1;attic;Janson
77;broom stick;10;attic;Janson
78;power cord (long);3;attic;AW collection point
78;3-outlet power strip;3;attic;AW collection point
78;4-outlet power strip;5;attic;AW collection point
78;6-outlet power strip;1;attic;AW collection point
79;broom stick;5;attic;AW collection point
99;ladder;1;attic;K Cloak room
100;ladder;1;attic;K 4.401
101;ladder;1;attic;K NOC
